modelo;serial;estado;tipo_item_id
Modem Huawei E32724G;862600020598169;USADO;4
Modem Huawei E32724G;862600020597765;USADO;4
Modem Huawei E32724G;862600020623694;USADO;4
Modem Huawei E32724G;862600020597757;USADO;4
Modem Huawei E32724G;862600020623843;USADO;4
Modem Huawei E32724G;862600020598144;USADO;4
Modem Huawei E32724G;862600020598185;USADO;4
Modem Huawei E32724G;862600020601849;USADO;4
Modem Huawei E32724G;862600020597849;USADO;4
Modem Huawei E32724G;862600020623777;USADO;4
Modem Huawei E32724G;862600020625939;USADO;4
Modem Huawei E32724G;862600020603274;USADO;4
Modem Huawei E32724G;862600020625327;USADO;4
Modem Huawei E32724G;862600020597716;USADO;4
Modem Huawei E32724G;862600020597724;USADO;4
Modem Huawei E32724G;862600020623793;USADO;4
Modem Huawei E32724G;862600020624007;USADO;4
Modem Huawei E32724G;862600020597989;USADO;4
Modem Huawei E32724G;862600020598201;USADO;4
Modem Huawei E32724G;862600020625566;USADO;4
Modem Huawei E32724G;862600020598003;USADO;4
Modem Huawei E32724G;862600020597856;USADO;4
Modem Huawei E32724G;862600020597864;USADO;4
Modem Huawei E32724G;862600020598029;USADO;4
Modem Huawei E32724G;862600020625673;USADO;4
Modem Huawei E32724G;862600020625913;USADO;4
Modem Huawei E32724G;862600020597211;USADO;4
Modem Huawei E32724G;862600020623272;USADO;4
Modem Huawei E32724G;862600020597229;USADO;4
Modem Huawei E32724G;862600020597146;USADO;4
Modem Huawei E32724G;862600020623223;USADO;4
Modem Huawei E32724G;862600020603175;USADO;4
Modem Huawei E32724G;862600020597328;USADO;4
Modem Huawei E32724G;862600020603126;USADO;4
Modem Huawei E32724G;862600020597187;USADO;4
Modem Huawei E32724G;862600020597062;USADO;4
Modem Huawei E32724G;862600020596478;USADO;4
Modem Huawei E32724G;862600020623967;USADO;4
Modem Huawei E32724G;862600020623603;USADO;4
Modem Huawei E32724G;862600020596593;USADO;4
Modem Huawei E32724G;862600020596734;USADO;4
Modem Huawei E32724G;862600020596577;USADO;4
Modem Huawei E32724G;862600020622670;USADO;4
Modem Huawei E32724G;862600020596924;USADO;4
Modem Huawei E32724G;862600020596692;USADO;4
Modem Huawei E32724G;862600020622613;USADO;4
Modem Huawei E32724G;862600020622498;USADO;4
Modem Huawei E32724G;862600020603019;USADO;4
Modem Huawei E32724G;862600020596809;USADO;4
Modem Huawei E32724G;862600020623546;USADO;4
Modem Huawei E32724G;862600020623884;USADO;4
Modem Huawei E32724G;862600020622779;USADO;4
Modem Huawei E32724G;862600020622688;USADO;4
Modem Huawei E32724G;862600020602961;USADO;4
Modem Huawei E32724G;862600020596817;USADO;4
Modem Huawei E32724G;862600020622449;USADO;4
Modem Huawei E32724G;862600020622597;USADO;4
Modem Huawei E32724G;862600020621250;USADO;4
Modem Huawei E32724G;862600020622522;USADO;4
Modem Huawei E32724G;862600020622423;USADO;4
Modem Huawei E32724G;862600020622381;USADO;4
Modem Huawei E32724G;862600020596155;USADO;4
Modem Huawei E32724G;862600020622928;USADO;4
Modem Huawei E32724G;862600020625731;USADO;4
Modem Huawei E32724G;862600020596718;USADO;4
Modem Huawei E32724G;862600020623587;USADO;4
Modem Huawei E32724G;862600020622431;USADO;4
Modem Huawei E32724G;862600020597005;USADO;4
Modem Huawei E32724G;862600020597088;USADO;4
Modem Huawei E32724G;862600020622514;USADO;4
Modem Huawei E32724G;862600020603076;USADO;4
Modem Huawei E32724G;862600020622530;USADO;4
Modem Huawei E32724G;862600020623561;USADO;4
Modem Huawei E32724G;862600020597013;USADO;4
Modem Huawei E32724G;862600020596106;USADO;4
Modem Huawei E32724G;862600020598417;USADO;4
Modem Huawei E32724G;862600020597955;USADO;4
Modem Huawei E32724G;862600020598466;USADO;4
Modem Huawei E32724G;862600020623637;USADO;4
Modem Huawei E32724G;862600020623579;USADO;4
Modem Huawei E32724G;862600020624304;USADO;4
Modem Huawei E32724G;862600020623702;USADO;4
Modem Huawei E32724G;862600020624213;USADO;4
Modem Huawei E32724G;862600020624247;USADO;4
Modem Huawei E32724G;862600020598557;USADO;4
Modem Huawei E32724G;862600020625764;USADO;4
Modem Huawei E32724G;862600020598490;USADO;4
Modem Huawei E32724G;862600020598581;USADO;4
Modem Huawei E32724G;862600020598516;USADO;4
Modem Huawei E32724G;862600020598540;USADO;4
Modem Huawei E32724G;862600020599266;USADO;4
Modem Huawei E32724G;862600020599241;USADO;4
Modem Huawei E32724G;862600020625194;USADO;4
Modem Huawei E32724G;862600020626473;USADO;4
Modem Huawei E32724G;862600020625244;USADO;4
Modem Huawei E32724G;862600020625541;USADO;4
Modem Huawei E32724G;862600020603217;USADO;4
Modem Huawei E32724G;862600020603324;USADO;4
Modem Huawei E32724G;862600020625459;USADO;4
Modem Huawei E32724G;862600020603209;USADO;4
Modem Huawei E32724G;862600020625343;USADO;4
Modem Huawei E32724G;862600020625269;USADO;4
Modem Huawei E32724G;862600020625376;USADO;4
Modem Huawei E32724G;862600020625285;USADO;4
Modem Huawei E32724G;862600020623728;USADO;4
Modem Huawei E32724G;862600020625418;USADO;4
Modem Huawei E32724G;862600020598755;USADO;4
Modem Huawei E32724G;862600020625335;USADO;4
Modem Huawei E32724G;862600020603308;USADO;4
Modem Huawei E32724G;862600020625723;USADO;4
Modem Huawei E32724G;862600020594135;USADO;4
Modem Huawei E32724G;862600020593723;USADO;4
Modem Huawei E32724G;862600020595082;USADO;4
Modem Huawei E32724G;862600020595157;USADO;4
Modem Huawei E32724G;862600020595165;USADO;4
Modem Huawei E32724G;862600020595132;USADO;4
Modem Huawei E32724G;862600020595124;USADO;4
Modem Huawei E32724G;862600020595108;USADO;4
Modem Huawei E32724G;862600020603233;USADO;4
Modem Huawei E32724G;862600020619668;USADO;4
Modem Huawei E32724G;862600020616599;USADO;4
Modem Huawei E32724G;862600020594317;USADO;4
Modem Huawei E32724G;862600020594960;USADO;4
Modem Huawei E32724G;862600020616920;USADO;4
Modem Huawei E32724G;862600020616912;USADO;4
Modem Huawei E32724G;862600020616532;USADO;4
Modem Huawei E32724G;862600020616540;USADO;4
Modem Huawei E32724G;862600020594978;USADO;4
Modem Huawei E32724G;862600020616938;USADO;4
Modem Huawei E32724G;862600020616573;USADO;4
Modem Huawei E32724G;862600020619676;USADO;4
Modem Huawei E32724G;862600020595090;USADO;4
Modem Huawei E32724G;862600020595033;USADO;4
Modem Huawei E32724G;862600020616557;USADO;4
Modem Huawei E32724G;862600020595066;USADO;4
Modem Huawei E32724G;862600020595116;USADO;4
Modem Huawei E32724G;862600020616631;USADO;4
Modem Huawei E32724G;862600020594564;USADO;4
Modem Huawei E32724G;862600020619684;USADO;4
Modem Huawei E32724G;862600020595173;USADO;4
Modem Huawei E32724G;862600020593111;USADO;4
Modem Huawei E32724G;862600020594408;USADO;4
Modem Huawei E32724G;862600020592410;USADO;4
Modem Huawei E32724G;862600020592436;USADO;4
Modem Huawei E32724G;862600020594358;USADO;4
Modem Huawei E32724G;862600020593293;USADO;4
Modem Huawei E32724G;862600020616946;USADO;4
Modem Huawei E32724G;862600020592444;USADO;4
Modem Huawei E32724G;862600020592394;USADO;4
Modem Huawei E32724G;862600020594333;USADO;4
Modem Huawei E32724G;862600020594879;USADO;4
Modem Huawei E32724G;862600020619593;USADO;4
Modem Huawei E32724G;862600020619361;USADO;4
Modem Huawei E32724G;862600020619114;USADO;4
Modem Huawei E32724G;862600020594895;USADO;4
Modem Huawei E32724G;862600020594325;USADO;4
Modem Huawei E32724G;862600020619627;USADO;4
Modem Huawei E32724G;862600020594119;USADO;4
Modem Huawei E32724G;862600020592402;USADO;4
Modem Huawei E32724G;862600020594903;USADO;4
Modem Huawei E32724G;862600020618397;USADO;4
Modem Huawei E32724G;862600020593129;USADO;4
Modem Huawei E32724G;862600020603142;USADO;4
Modem Huawei E32724G;862600020603092;USADO;4
Modem Huawei E32724G;862600020603001;USADO;4
Modem Huawei E32724G;862600020619528;USADO;4
Modem Huawei E32724G;862600020595041;USADO;4
Modem Huawei E32724G;862600020595140;USADO;4
Modem Huawei E32724G;862600020619536;USADO;4
Modem Huawei E32724G;862600020622555;USADO;4
Modem Huawei E32724G;862600020593103;USADO;4
Modem Huawei E32724G;862600020593236;USADO;4
Modem Huawei E32724G;862600020594374;USADO;4
Modem Huawei E32724G;862600020593178;USADO;4
Modem Huawei E32724G;862600020593145;USADO;4
Modem Huawei E32724G;862600020593160;USADO;4
Modem Huawei E32724G;862600020593152;USADO;4
Modem Huawei E32724G;862600020593996;USADO;4
Modem Huawei E32724G;862600020624445;USADO;4
Modem Huawei E32724G;862600020593830;USADO;4
Modem Huawei E32724G;862600020593533;USADO;4
Modem Huawei E32724G;862600020598433;USADO;4
Modem Huawei E32724G;862600020593194;USADO;4
Modem Huawei E32724G;862600020595421;USADO;4
Modem Huawei E32724G;862600020618538;USADO;4
Modem Huawei E32724G;862600020593202;USADO;4
Modem Huawei E32724G;862600020618587;USADO;4
Modem Huawei E32724G;862600020594275;USADO;4
